x,y,ux,uy
32.9607864,3.58578643,0.035414406,0.001589684
36.1188763,13.7248737,0.036089501,-0.001426526
31.5625,0,0.023693461,0.004551501
37.1875,20,0.039644888,-0.003438726
35.152891,9.05750679,0.033365404,-0.000147529
34.5126137,6.98014067,0.034486034,0.000613239
36.939188,16.0744984,0.038596013,-0.002912228
36.7939046,15.1765229,0.037685897,-0.002474815
37.3744685,19.2328346,0.039764213,-0.003900366
32.4023043,0.858643842,0.035646635,0.00158767
34.6644966,6.3911784,0.035100417,0.000718969
34.0134831,4.48223304,0.035667761,0.001616929
36.0768589,10.7803613,0.021930682,-0.009894972
36.1719634,11.160231,0.016594453,-0.010433411
37.3099045,16.9138348,0.039532934,-0.003336757
35.3383356,8.03363834,0.03400195,0.000649898
36.0189814,10.3892182,0.027194529,-0.010627517
36.3044819,11.5307337,0.021079247,-0.00792334
36.938163,14.1844878,0.03708433,-0.001950084
33.8092163,3.45407931,0.035926855,0.001558751
36,10,0.032049022,-0.012564189
36.4727622,11.8864234,0.02538074,-0.005655138
37.6189074,18.4721475,0.040111869,-0.004071944
33.1881926,1.6963917,0.036313091,0.001919103
36.0189814,9.61078176,0.035463171,-0.015352141
36.6741216,12.2222809,0.029067684,-0.003588069
34.8502985,5.84820072,0.035221163,0.001153674
36.0768589,9.21963871,0.036164067,-0.016662711
36.9097759,12.5397864,0.0320222,-0.00189205
37.4541342,15.2953179,0.038498618,-0.003299862
37.90166,17.7157793,0.039963236,-0.004123005
33.9381371,2.5202089,0.03612603,0.002462802
36.1719634,8.839769,0.036391325,-0.014902617
37.1715729,12.8284271,0.034263924,-0.000742496
35.0661797,5.37867965,0.035642713,0.001232345
35.6585861,7.05928214,0.03490927,0.00088374
32.96875,0,0.019401392,0.004920957
36.3044819,8.46926627,0.036680809,-0.013180689
37.4621827,13.0918414,0.035971437,-0.000274209
38.2035694,16.9615706,0.040246462,-0.004392452
34.6701095,3.33706077,0.036593555,0.001661625
38.59375,20,0.040389416,-0.004574992
37.9648632,14.5042977,0.037861541,-0.002691705
38.1270133,15.3871272,0.039092319,-0.003481912
36.4727622,8.11357658,0.037041431,-0.012023128
37.7777191,13.3258785,0.036167279,-0.001031241
35.5690773,5.16170597,0.036788229,0.001583961
34.2953052,1.64590354,0.036860903,0.002244108
38.7834018,18.4927104,0.040255389,-0.004191542
36.1188763,6.27512626,0.036222692,0.001477342
38.5054787,16.2073618,0.040216594,-0.003721287
35.402082,4.15391264,0.036804549,0.00212582
36.6741216,7.77771906,0.036958144,-0.009816479
38.1200263,13.5306797,0.036306339,-0.001772527
36.9097759,7.4602136,0.03705181,-0.007779367
38.4692663,13.6955181,0.036592125,-0.002277688
38.7882313,15.4509936,0.039620376,-0.003486921
36.1520265,4.97772984,0.037228923,0.002617673
39.1016285,16.9904469,0.040344916,-0.004138829
35.5443881,3.23466017,0.037398271,0.002361903
34.375,0,0.011674563,0.00316745
37.1715729,7.17157287,0.037461715,-0.005896842
38.838559,13.8276696,0.038462974,-0.002849407
39.0326702,14.6903065,0.038909001,-0.003408479
34.8798147,0.808836857,0.037763932,0.002394746
36.9379148,5.8154777,0.036974342,0.002439788
35.3906025,1.59986518,0.037615014,0.003534028
39.4198552,15.4881833,0.040242394,-0.003734647
40,20,0.039743931,-0.004568886
37.4621826,6.90815862,0.037803064,-0.004213067
39.2196387,13.9231411,0.042231397,-0.003183761
36.7934711,4.8234168,0.037363659,0.002831178
40,19.25,0.041307955,-0.004260665
35.9053723,2.37902114,0.037986815,0.002881109
40,18.5,0.041156509,-0.004222829
40,17.75,0.040913515,-0.004654429
36.4221331,3.15224093,0.037462159,0.003829431
